バージョン,タイトル,ジャンル,アーティスト,プレー回数,NORMAL 難易度,NORMAL EXスコア,NORMAL PGreat,NORMAL Great,NORMAL ミスカウント,NORMAL クリアタイプ,NORMAL DJ LEVEL,HYPER 難易度,HYPER EXスコア,HYPER PGreat,HYPER Great,HYPER ミスカウント,HYPER クリアタイプ,HYPER DJ LEVEL,ANOTHER 難易度,ANOTHER EXスコア,ANOTHER PGreat,ANOTHER Great,ANOTHER ミスカウント,ANOTHER クリアタイプ,ANOTHER DJ LEVEL,最終プレー日時
1st&substream,5.1.1.,PIANO AMBIENT,dj nagureo,1,1,0,0,0,---,FULLCOMBO CLEAR,---,6,0,0,0,---,NO PLAY,---,10,1552,766,20,0,FULLCOMBO CLEAR,AAA,2019-01-17 22:24
1st&substream,deep in you,DANCE POP,dj nagureo,1,3,0,0,0,---,NO PLAY,---,3,0,0,0,---,NO PLAY,---,5,652,319,14,0,FULLCOMBO CLEAR,AAA,2019-03-30 20:10
1st&substream,Dr.LOVE,DANCE POP,baby weapon feat.Asuka.M,1,2,0,0,0,---,NO PLAY,---,3,0,0,0,---,NO PLAY,---,3,565,275,15,0,FULLCOMBO CLEAR,AAA,2019-08-26 21:30
1st&substream,GAMBOL,BIG BEAT,SLAKE,2,1,0,0,0,---,FULLCOMBO CLEAR,---,1,268,134,0,0,FULLCOMBO CLEAR,AAA,0,0,0,0,---,NO PLAY,---,2019-04-25 17:15
1st&substream,GENOM SCREAMS,TRANCE,L.E.D. LIGHT,0,3,0,0,0,---,NO PLAY,---,6,0,0,0,---,ASSIST CLEAR,---,9,0,0,0,---,FULLCOMBO CLEAR,---,2018-11-08 23:21
1st&substream,GRADIUSIC CYBER,DIGI-ROCK,TAKA,0,5,0,0,0,---,NO PLAY,---,6,0,0,0,---,NO PLAY,---,7,0,0,0,---,FULLCOMBO CLEAR,---,2018-11-08 23:21
1st&substream,KEEP ON MOVIN',DANCE POP,N.M.R.,0,1,0,0,0,---,FULLCOMBO CLEAR,---,3,0,0,0,---,NO PLAY,---,0,0,0,0,---,NO PLAY,---,2018-11-08 23:21
1st&substream,Macho Gang,TRIBAL HOUSE,ANAL SPYDER,0,2,0,0,0,---,NO PLAY,---,7,0,0,0,---,ASSIST CLEAR,---,10,0,0,0,---,HARD CLEAR,---,2018-11-08 23:21
1st&substream,PARANOIA MAX～DIRTY MIX～,JUNGLE,190,0,5,0,0,0,---,NO PLAY,---,6,0,0,0,---,NO PLAY,---,8,0,0,0,---,HARD CLEAR,---,2018-11-08 23:21
1st&substream,R3,RAVE,tiger YAMATO,0,4,0,0,0,---,NO PLAY,---,5,0,0,0,---,NO PLAY,---,6,0,0,0,---,FULLCOMBO CLEAR,---,2018-11-08 23:21
1st&substream,RUGGED ASH,FUTURE JAZZ,SYMPHONIC DEFOGGERS,0,2,0,0,0,---,NO PLAY,---,3,0,0,0,---,FULLCOMBO CLEAR,---,9,0,0,0,---,FULLCOMBO CLEAR,---,2018-11-08 23:21
1st&substream,RUGGED ASH†,FUTURE JAZZ,SYMPHONIC DEFOGGERS,5,0,0,0,0,---,NO PLAY,---,0,0,0,0,---,NO PLAY,---,11,1993,943,107,0,FULLCOMBO CLEAR,AAA,2019-07-29 19:43
1st&substream,THE EARTH LIGHT,TRANCE,L.E.D. LIGHT,0,4,0,0,0,---,NO PLAY,---,7,0,0,0,---,NO PLAY,---,8,0,0,0,---,FULLCOMBO CLEAR,---,2018-11-08 23:21
2nd style,.59,CHILL OUT,dj TAKA,0,4,0,0,0,---,NO PLAY,---,6,0,0,0,---,NO PLAY,---,7,0,0,0,---,FULLCOMBO CLEAR,---,2018-11-08 23:21
2nd style,Digital MinD(A/T Libra mix),MINIMAL,TaQ,0,3,0,0,0,---,NO PLAY,---,5,0,0,0,---,NO PLAY,---,6,0,0,0,---,FULLCOMBO CLEAR,---,2018-11-08 23:21
2nd style,Electro Tuned(the SubS mix),BIG BEAT,TaQ,0,4,0,0,0,---,NO PLAY,---,5,0,0,0,---,NO PLAY,---,6,0,0,0,---,FULLCOMBO CLEAR,---,2018-11-08 23:21
2nd style,I Was The One,ITALO HOUSE,good-cool,0,2,0,0,0,---,NO PLAY,---,3,0,0,0,---,FULLCOMBO CLEAR,---,3,0,0,0,---,FULLCOMBO CLEAR,---,2018-11-08 23:21
2nd style,Indigo Vision(full flavour hide around mix),GOA TRANCE,TaQ,0,3,0,0,0,---,NO PLAY,---,5,0,0,0,---,NO PLAY,---,8,0,0,0,---,FULLCOMBO CLEAR,---,2018-11-08 23:21
2nd style,PUT YOUR FAITH IN ME(for beatmania II),JAZZ FUNK,dj TAKA feat. UZI-LAY,0,3,0,0,0,---,NO PLAY,---,6,0,0,0,---,FULLCOMBO CLEAR,---,0,0,0,0,---,NO PLAY,---,2018-11-08 23:21
2nd style,SP-TRIP MACHINE(for beatmania II),JUNGLE,dj TAKA feat. DE-SIRE,1,3,0,0,0,---,NO PLAY,---,4,0,0,0,---,NO PLAY,---,4,640,316,8,0,FULLCOMBO CLEAR,AAA,2019-02-14 21:58
3rd style,CAN'T STOP FALLIN'IN LOVE,HYPER EUROBEAT,NAOKI,0,3,0,0,0,---,NO PLAY,---,8,0,0,0,---,FULLCOMBO CLEAR,---,0,0,0,0,---,NO PLAY,---,2018-11-08 23:21
3rd style,Don't Stop!,HAPPY HANDBAG,dj TAKA feat. JP Miles,0,4,0,0,0,---,NO PLAY,---,4,0,0,0,---,NO PLAY,---,4,0,0,0,---,FULLCOMBO CLEAR,---,2018-11-08 23:21
