version_full,title,genre,artist,version,difficulty_short,difficulty,level,notes,kaiden_average,top_score
1st&substream,22DUNK,TECHNO,SLAKE,1,SPB,1,-1,-1,-1,-1
1st&substream,22DUNK,TECHNO,SLAKE,1,SPN,2,3,265,474,528
1st&substream,22DUNK,TECHNO,SLAKE,1,SPH,3,4,323,606,645
1st&substream,22DUNK,TECHNO,SLAKE,1,SPA,4,5,329,614,658
1st&substream,22DUNK,TECHNO,SLAKE,1,SPL,5,-1,-1,-1,-1
1st&substream,5.1.1.,PIANO AMBIENT,dj nagureo,1,SPB,1,-1,-1,-1,-1
1st&substream,5.1.1.,PIANO AMBIENT,dj nagureo,1,SPN,2,2,99,182,198
1st&substream,5.1.1.,PIANO AMBIENT,dj nagureo,1,SPH,3,6,511,926,1022
1st&substream,5.1.1.,PIANO AMBIENT,dj nagureo,1,SPA,4,10,786,1475,1572
1st&substream,5.1.1.,PIANO AMBIENT,dj nagureo,1,SPL,5,-1,-1,-1,-1
1st&substream,deep in you,DANCE POP,dj nagureo,1,SPB,1,-1,-1,-1,-1
1st&substream,deep in you,DANCE POP,dj nagureo,1,SPN,2,4,250,466,500
1st&substream,deep in you,DANCE POP,dj nagureo,1,SPH,3,4,255,463,508
1st&substream,deep in you,DANCE POP,dj nagureo,1,SPA,4,5,333,613,666
1st&substream,deep in you,DANCE POP,dj nagureo,1,SPL,5,-1,-1,-1,-1
1st&substream,Dr.LOVE,DANCE POP,baby weapon  feat.Asuka.M,1,SPB,1,-1,-1,-1,-1
1st&substream,Dr.LOVE,DANCE POP,baby weapon  feat.Asuka.M,1,SPN,2,2,204,382,408
1st&substream,Dr.LOVE,DANCE POP,baby weapon  feat.Asuka.M,1,SPH,3,3,261,464,522
1st&substream,Dr.LOVE,DANCE POP,baby weapon  feat.Asuka.M,1,SPA,4,4,290,548,580
1st&substream,Dr.LOVE,DANCE POP,baby weapon  feat.Asuka.M,1,SPL,5,-1,-1,-1,-1
1st&substream,GAMBOL,BIG BEAT,SLAKE,1,SPB,1,-1,-1,-1,-1
1st&substream,GAMBOL,BIG BEAT,SLAKE,1,SPN,2,2,137,257,274
1st&substream,GAMBOL,BIG BEAT,SLAKE,1,SPH,3,2,137,247,274
1st&substream,GAMBOL,BIG BEAT,SLAKE,1,SPA,4,-1,-1,247,274
1st&substream,GAMBOL,BIG BEAT,SLAKE,1,SPL,5,-1,-1,-1,-1
1st&substream,GENOM SCREAMS,TRANCE,L.E.D. LIGHT,1,SPB,1,-1,-1,-1,-1
1st&substream,GENOM SCREAMS,TRANCE,L.E.D. LIGHT,1,SPN,2,3,211,378,422
