version_full,title,genre,artist,version,difficulty_short,difficulty,level,notes,bpm,bpm_min,bpm_max,measure,duration,kaiden_average,top_score
1st&substream,22DUNK,TECHNO,SLAKE,1,SPB,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1st&substream,22DUNK,TECHNO,SLAKE,1,SPN,2,3,265,135,135,135,39,69,474,530
1st&substream,22DUNK,TECHNO,SLAKE,1,SPH,3,4,323,135,135,135,39,69,606,646
1st&substream,22DUNK,TECHNO,SLAKE,1,SPA,4,5,329,135,135,135,39,69,616,658
1st&substream,22DUNK,TECHNO,SLAKE,1,SPL,5,-1,-1,-1,-1,-1,-1,-1,-1,-1
1st&substream,22DUNK,TECHNO,SLAKE,1,DPN,6,5,333,135,135,135,39,69,-1,-1
1st&substream,22DUNK,TECHNO,SLAKE,1,DPH,7,5,334,135,135,135,39,69,-1,-1
1st&substream,22DUNK,TECHNO,SLAKE,1,DPA,8,5,329,135,135,135,39,69,-1,-1
1st&substream,22DUNK,TECHNO,SLAKE,1,DPL,9,-1,-1,-1,-1,-1,-1,-1,-1,-1
1st&substream,5.1.1.,PIANO AMBIENT,dj nagureo,1,SPB,1,1,70,101,101,101,28,67,-1,-1
1st&substream,5.1.1.,PIANO AMBIENT,dj nagureo,1,SPN,2,2,99,101,101,101,28,67,182,198
1st&substream,5.1.1.,PIANO AMBIENT,dj nagureo,1,SPH,3,6,511,101,101,101,28,67,926,1022
1st&substream,5.1.1.,PIANO AMBIENT,dj nagureo,1,SPA,4,10,786,101,101,101,36,86,1475,1572
1st&substream,5.1.1.,PIANO AMBIENT,dj nagureo,1,SPL,5,-1,-1,-1,-1,-1,-1,-1,-1,-1
1st&substream,5.1.1.,PIANO AMBIENT,dj nagureo,1,DPN,6,1,83,101,101,101,28,67,-1,-1
1st&substream,5.1.1.,PIANO AMBIENT,dj nagureo,1,DPH,7,7,99,101,101,101,28,67,-1,-1
1st&substream,5.1.1.,PIANO AMBIENT,dj nagureo,1,DPA,8,10,796,101,101,101,36,86,-1,-1
1st&substream,5.1.1.,PIANO AMBIENT,dj nagureo,1,DPL,9,-1,-1,-1,-1,-1,-1,-1,-1,-1
1st&substream,Be in my paradise,SOUL CLASSIC BALLAD,JJ COMPANY,1,SPB,1,1,104,63,63,63,24,91,-1,-1
1st&substream,Be in my paradise,SOUL CLASSIC BALLAD,JJ COMPANY,1,SPN,2,1,117,63,63,63,24,91,-1,-1
1st&substream,Be in my paradise,SOUL CLASSIC BALLAD,JJ COMPANY,1,SPH,3,2,148,63,63,63,24,91,-1,-1
1st&substream,Be in my paradise,SOUL CLASSIC BALLAD,JJ COMPANY,1,SPA,4,-1,-1,-1,-1,-1,-1,-1,-1,-1
1st&substream,Be in my paradise,SOUL CLASSIC BALLAD,JJ COMPANY,1,SPL,5,-1,-1,-1,-1,-1,-1,-1,-1,-1
1st&substream,Be in my paradise,SOUL CLASSIC BALLAD,JJ COMPANY,1,DPN,6,1,137,63,63,63,24,91,-1,-1
1st&substream,Be in my paradise,SOUL CLASSIC BALLAD,JJ COMPANY,1,DPH,7,2,149,63,63,63,24,91,-1,-1
1st&substream,Be in my paradise,SOUL CLASSIC BALLAD,JJ COMPANY,1,DPA,8,-1,-1,-1,-1,-1,-1,-1,-1,-1
1st&substream,Be in my paradise,SOUL CLASSIC BALLAD,JJ COMPANY,1,DPL,9,-1,-1,-1,-1,-1,-1,-1,-1,-1
1st&substream,been so long,JAPANESE HIPHOP,m-flo,1,SPB,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1st&substream,been so long,JAPANESE HIPHOP,m-flo,1,SPN,2,-1,-1,-1,-1,-1,-1,-1,-1,-1
1st&substream,been so long,JAPANESE HIPHOP,m-flo,1,SPH,3,3,210,96,96,96,36,90,-1,-1
1st&substream,been so long,JAPANESE HIPHOP,m-flo,1,SPA,4,-1,-1,-1,-1,-1,-1,-1,-1,-1
1st&substream,been so long,JAPANESE HIPHOP,m-flo,1,SPL,5,-1,-1,-1,-1,-1,-1,-1,-1,-1
1st&substream,been so long,JAPANESE HIPHOP,m-flo,1,DPN,6,-1,-1,-1,-1,-1,-1,-1,-1,-1
1st&substream,been so long,JAPANESE HIPHOP,m-flo,1,DPH,7,3,205,96,96,96,36,90,-1,-1
1st&substream,been so long,JAPANESE HIPHOP,m-flo,1,DPA,8,4,215,96,96,96,36,90,-1,-1
1st&substream,been so long,JAPANESE HIPHOP,m-flo,1,DPL,9,-1,-1,-1,-1,-1,-1,-1,-1,-1
1st&substream,BRILLIANT 2U,EURO GROOVE,NAOKI,1,SPB,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1st&substream,BRILLIANT 2U,EURO GROOVE,NAOKI,1,SPN,2,3,270,150,150,150,51,82,-1,540
1st&substream,BRILLIANT 2U,EURO GROOVE,NAOKI,1,SPH,3,4,330,150,150,150,51,82,-1,660
1st&substream,BRILLIANT 2U,EURO GROOVE,NAOKI,1,SPA,4,4,362,150,150,150,51,82,-1,724
1st&substream,BRILLIANT 2U,EURO GROOVE,NAOKI,1,SPL,5,-1,-1,-1,-1,-1,-1,-1,-1,-1
1st&substream,BRILLIANT 2U,EURO GROOVE,NAOKI,1,DPN,6,3,288,150,150,150,51,82,-1,-1
1st&substream,BRILLIANT 2U,EURO GROOVE,NAOKI,1,DPH,7,5,363,150,150,150,51,82,-1,-1
1st&substream,BRILLIANT 2U,EURO GROOVE,NAOKI,1,DPA,8,-1,-1,-1,-1,-1,-1,-1,-1,-1
1st&substream,BRILLIANT 2U,EURO GROOVE,NAOKI,1,DPL,9,-1,-1,-1,-1,-1,-1,-1,-1,-1
1st&substream,celebrate,SOUL CLASSIC,JJ COMPANY,1,SPB,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1st&substream,celebrate,SOUL CLASSIC,JJ COMPANY,1,SPB,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1st&substream,celebrate,SOUL CLASSIC,JJ COMPANY,1,SPN,2,-1,-1,-1,-1,-1,-1,-1,-1,-1
